"Private" "Apps" "Accept" "Enroll" "Expend" "Grad.Rate" "Top25perc" "lat" "lng" "Name" "mappop"
"Elmira College" "Private" 1457 1045 345 7502 64 50 42.0967817 -76.8153705 "Elmira College" "<b>Elmira College</b><br><b>Private</b><br><b>Applications: </b>1457<br><b>Applicatants accepted: </b>1045<br><b>Enrollments: </b>345"
"Elms College" "Private" 245 208 125 8952 86 46 42.1416694 -72.6005529 "Elms College" "<b>Elms College</b><br><b>Private</b><br><b>Applications: </b>245<br><b>Applicatants accepted: </b>208<br><b>Enrollments: </b>125"
"Elon College" "Private" 3624 2786 858 6329 63 39 36.1048739 -79.5043469 "Elon College" "<b>Elon College</b><br><b>Private</b><br><b>Applications: </b>3624<br><b>Applicatants accepted: </b>2786<br><b>Enrollments: </b>858"
"Embry Riddle Aeronautical University" "Private" 3151 2584 958 12878 44 40 34.6524103 -99.298944 "Embry Riddle Aeronautical University" "<b>Embry Riddle Aeronautical University</b><br><b>Private</b><br><b>Applications: </b>3151<br><b>Applicatants accepted: </b>2584<br><b>Enrollments: </b>958"
"Emory & Henry College" "Private" 765 646 226 8061 82 60 33.7925195 -84.3239989 "Emory & Henry College" "<b>Emory & Henry College</b><br><b>Private</b><br><b>Applications: </b>765<br><b>Applicatants accepted: </b>646<br><b>Enrollments: </b>226"
"Emory University" "Private" 8506 4168 1236 28457 96 97 33.7925195 -84.3239989 "Emory University" "<b>Emory University</b><br><b>Private</b><br><b>Applications: </b>8506<br><b>Applicatants accepted: </b>4168<br><b>Enrollments: </b>1236"
"Emporia State University" "Public" 1256 1256 853 5527 50 79 38.4138215 -96.1800783 "Emporia State University" "<b>Emporia State University</b><br><b>Public</b><br><b>Applications: </b>1256<br><b>Applicatants accepted: </b>1256<br><b>Enrollments: </b>853"
"Erskine College" "Private" 659 557 167 7527 67 74 34.3308738 -82.3892275 "Erskine College" "<b>Erskine College</b><br><b>Private</b><br><b>Applications: </b>659<br><b>Applicatants accepted: </b>557<br><b>Enrollments: </b>167"
"Eureka College" "Private" 560 454 113 9552 53 56 40.71398 -89.267575 "Eureka College" "<b>Eureka College</b><br><b>Private</b><br><b>Applications: </b>560<br><b>Applicatants accepted: </b>454<br><b>Enrollments: </b>113"
"Evergreen State College" "Public" 1801 1101 438 8355 68 50 47.0718574 -122.9766427 "Evergreen State College" "<b>Evergreen State College</b><br><b>Public</b><br><b>Applications: </b>1801<br><b>Applicatants accepted: </b>1101<br><b>Enrollments: </b>438"
"Fairfield University" "Private" 4784 3346 781 11220 94 66 41.1598413 -73.2566279 "Fairfield University" "<b>Fairfield University</b><br><b>Private</b><br><b>Applications: </b>4784<br><b>Applicatants accepted: </b>3346<br><b>Enrollments: </b>781"
"Fayetteville State University" "Public" 1455 1064 452 6972 24 16 35.076475 -78.891717 "Fayetteville State University" "<b>Fayetteville State University</b><br><b>Public</b><br><b>Applications: </b>1455<br><b>Applicatants accepted: </b>1064<br><b>Enrollments: </b>452"
"Ferrum College" "Private" 1339 1107 336 7967 22 36 36.9271611 -80.0225824 "Ferrum College" "<b>Ferrum College</b><br><b>Private</b><br><b>Applications: </b>1339<br><b>Applicatants accepted: </b>1107<br><b>Enrollments: </b>336"
"Flagler College" "Private" 1415 714 338 3930 69 52 29.8927447 -81.314899 "Flagler College" "<b>Flagler College</b><br><b>Private</b><br><b>Applications: </b>1415<br><b>Applicatants accepted: </b>714<br><b>Enrollments: </b>338"
"Florida Institute of Technology" "Private" 1947 1580 523 8923 57 74 28.0646385 -80.6231696 "Florida Institute of Technology" "<b>Florida Institute of Technology</b><br><b>Private</b><br><b>Applications: </b>1947<br><b>Applicatants accepted: </b>1580<br><b>Enrollments: </b>523"
"Florida International University" "Public" 3306 2079 1071 6722 66 89 25.7571955 -80.3758328 "Florida International University" "<b>Florida International University</b><br><b>Public</b><br><b>Applications: </b>3306<br><b>Applicatants accepted: </b>2079<br><b>Enrollments: </b>1071"
"Florida Southern College" "Private" 1381 1040 374 6339 68 44 28.0317597 -81.9459801 "Florida Southern College" "<b>Florida Southern College</b><br><b>Private</b><br><b>Applications: </b>1381<br><b>Applicatants accepted: </b>1040<br><b>Enrollments: </b>374"
"Florida State University" "Public" 11651 8683 3023 7250 58 90 30.4418778 -84.2984889 "Florida State University" "<b>Florida State University</b><br><b>Public</b><br><b>Applications: </b>11651<br><b>Applicatants accepted: </b>8683<br><b>Enrollments: </b>3023"
"Fontbonne College" "Private" 291 245 126 4607 62 49 38.6423584 -90.3157373 "Fontbonne College" "<b>Fontbonne College</b><br><b>Private</b><br><b>Applications: </b>291<br><b>Applicatants accepted: </b>245<br><b>Enrollments: </b>126"
"Fordham University" "Private" 4200 2874 942 10864 80 55 40.8620404 -73.8856987 "Fordham University" "<b>Fordham University</b><br><b>Private</b><br><b>Applications: </b>4200<br><b>Applicatants accepted: </b>2874<br><b>Enrollments: </b>942"
"Fort Lewis College" "Public" 3440 2823 1123 4362 46 35 37.2753391 -107.8684108 "Fort Lewis College" "<b>Fort Lewis College</b><br><b>Public</b><br><b>Applications: </b>3440<br><b>Applicatants accepted: </b>2823<br><b>Enrollments: </b>1123"
"Francis Marion University" "Public" 1801 1655 819 5039 43 38 34.189613 -79.653017 "Francis Marion University" "<b>Francis Marion University</b><br><b>Public</b><br><b>Applications: </b>1801<br><b>Applicatants accepted: </b>1655<br><b>Enrollments: </b>819"
"Franciscan University of Steubenville" "Private" 553 452 228 6336 83 49 40.376159 -80.621294 "Franciscan University of Steubenville" "<b>Franciscan University of Steubenville</b><br><b>Private</b><br><b>Applications: </b>553<br><b>Applicatants accepted: </b>452<br><b>Enrollments: </b>228"
"Franklin College" "Private" 804 632 281 11751 60 72 39.478646 -86.045479 "Franklin College" "<b>Franklin College</b><br><b>Private</b><br><b>Applications: </b>804<br><b>Applicatants accepted: </b>632<br><b>Enrollments: </b>281"
"Franklin Pierce College" "Private" 5187 4471 446 6418 51 14 42.778973 -72.0555381 "Franklin Pierce College" "<b>Franklin Pierce College</b><br><b>Private</b><br><b>Applications: </b>5187<br><b>Applicatants accepted: </b>4471<br><b>Enrollments: </b>446"
"Freed-Hardeman University" "Private" 895 548 314 6078 62 54 35.439035 -88.637402 "Freed-Hardeman University" "<b>Freed-Hardeman University</b><br><b>Private</b><br><b>Applications: </b>895<br><b>Applicatants accepted: </b>548<br><b>Enrollments: </b>314"
"Fresno Pacific College" "Private" 346 274 146 8095 54 87 36.7262997 -119.7357524 "Fresno Pacific College" "<b>Fresno Pacific College</b><br><b>Private</b><br><b>Applications: </b>346<br><b>Applicatants accepted: </b>274<br><b>Enrollments: </b>146"
"Furman University" "Private" 2161 1951 685 12940 82 82 34.9245893 -82.4391367 "Furman University" "<b>Furman University</b><br><b>Private</b><br><b>Applications: </b>2161<br><b>Applicatants accepted: </b>1951<br><b>Enrollments: </b>685"
"Gannon University" "Private" 2464 1908 678 7711 65 57 42.1281234 -80.0865857 "Gannon University" "<b>Gannon University</b><br><b>Private</b><br><b>Applications: </b>2464<br><b>Applicatants accepted: </b>1908<br><b>Enrollments: </b>678"
"Gardner Webb University" "Private" 1110 930 332 5664 29 36 35.250034 -81.66747 "Gardner Webb University" "<b>Gardner Webb University</b><br><b>Private</b><br><b>Applications: </b>1110<br><b>Applicatants accepted: </b>930<br><b>Enrollments: </b>332"
"Geneva College" "Private" 668 534 237 6786 74 39 40.7715964 -80.323277 "Geneva College" "<b>Geneva College</b><br><b>Private</b><br><b>Applications: </b>668<br><b>Applicatants accepted: </b>534<br><b>Enrollments: </b>237"
"George Fox College" "Private" 809 726 294 7136 52 52 45.302754 -122.970532 "George Fox College" "<b>George Fox College</b><br><b>Private</b><br><b>Applications: </b>809<br><b>Applicatants accepted: </b>726<br><b>Enrollments: </b>294"
"George Mason University" "Public" 5653 4326 1727 6751 46 29 38.8299323 -77.3073859 "George Mason University" "<b>George Mason University</b><br><b>Public</b><br><b>Applications: </b>5653<br><b>Applicatants accepted: </b>4326<br><b>Enrollments: </b>1727"
"George Washington University" "Private" 7875 5062 1492 14745 72 71 38.8997145 -77.0485992 "George Washington University" "<b>George Washington University</b><br><b>Private</b><br><b>Applications: </b>7875<br><b>Applicatants accepted: </b>5062<br><b>Enrollments: </b>1492"
"Georgetown College" "Private" 727 693 286 7508 55 55 38.2070067 -84.5543228 "Georgetown College" "<b>Georgetown College</b><br><b>Private</b><br><b>Applications: </b>727<br><b>Applicatants accepted: </b>693<br><b>Enrollments: </b>286"
"Georgetown University" "Private" 11115 2881 1390 19635 95 93 38.9076089 -77.0722585 "Georgetown University" "<b>Georgetown University</b><br><b>Private</b><br><b>Applications: </b>11115<br><b>Applicatants accepted: </b>2881<br><b>Enrollments: </b>1390"
"Georgia Institute of Technology" "Public" 7837 4527 2276 11271 70 99 33.7756178 -84.396285 "Georgia Institute of Technology" "<b>Georgia Institute of Technology</b><br><b>Public</b><br><b>Applications: </b>7837<br><b>Applicatants accepted: </b>4527<br><b>Enrollments: </b>2276"
"Georgia State University" "Public" 3793 2341 1238 7762 34 24 33.753068 -84.3852819 "Georgia State University" "<b>Georgia State University</b><br><b>Public</b><br><b>Applications: </b>3793<br><b>Applicatants accepted: </b>2341<br><b>Enrollments: </b>1238"
"Georgian Court College" "Private" 348 281 127 7348 76 52 40.0983785 -74.2215182 "Georgian Court College" "<b>Georgian Court College</b><br><b>Private</b><br><b>Applications: </b>348<br><b>Applicatants accepted: </b>281<br><b>Enrollments: </b>127"
"Gettysburg College" "Private" 3596 2466 575 14720 83 78 39.8358603 -77.2377491 "Gettysburg College" "<b>Gettysburg College</b><br><b>Private</b><br><b>Applications: </b>3596<br><b>Applicatants accepted: </b>2466<br><b>Enrollments: </b>575"
"Goldey Beacom College" "Private" 633 468 284 6081 36 27 39.7414824 -75.6893376 "Goldey Beacom College" "<b>Goldey Beacom College</b><br><b>Private</b><br><b>Applications: </b>633<br><b>Applicatants accepted: </b>468<br><b>Enrollments: </b>284"
"Gonzaga University" "Private" 1886 1524 526 9553 69 67 47.6681035 -117.4025037 "Gonzaga University" "<b>Gonzaga University</b><br><b>Private</b><br><b>Applications: </b>1886<br><b>Applicatants accepted: </b>1524<br><b>Enrollments: </b>526"
"Gordon College" "Private" 674 565 282 9226 66 54 42.590783 -70.823741 "Gordon College" "<b>Gordon College</b><br><b>Private</b><br><b>Applications: </b>674<br><b>Applicatants accepted: </b>565<br><b>Enrollments: </b>282"
"Goshen College" "Private" 440 396 221 10270 72 51 41.564367 -85.828317 "Goshen College" "<b>Goshen College</b><br><b>Private</b><br><b>Applications: </b>440<br><b>Applicatants accepted: </b>396<br><b>Enrollments: </b>221"
"Goucher College" "Private" 1151 813 248 16623 77 64 39.408765 -76.596545 "Goucher College" "<b>Goucher College</b><br><b>Private</b><br><b>Applications: </b>1151<br><b>Applicatants accepted: </b>813<br><b>Enrollments: </b>248"
"Grace College and Seminary" "Private" 548 428 167 9798 64 46 41.2258444 -85.8158934 "Grace College and Seminary" "<b>Grace College and Seminary</b><br><b>Private</b><br><b>Applications: </b>548<br><b>Applicatants accepted: </b>428<br><b>Enrollments: </b>167"
"Graceland College" "Private" 555 414 242 5609 47 41 40.616346 -93.925638 "Graceland College" "<b>Graceland College</b><br><b>Private</b><br><b>Applications: </b>555<br><b>Applicatants accepted: </b>414<br><b>Enrollments: </b>242"
"Grand Valley State University" "Public" 5165 3887 1561 5063 57 60 42.9638816 -85.8883237 "Grand Valley State University" "<b>Grand Valley State University</b><br><b>Public</b><br><b>Applications: </b>5165<br><b>Applicatants accepted: </b>3887<br><b>Enrollments: </b>1561"
"Green Mountain College" "Private" 780 628 198 6475 76 20 43.5167448 -73.2442058 "Green Mountain College" "<b>Green Mountain College</b><br><b>Private</b><br><b>Applications: </b>780<br><b>Applicatants accepted: </b>628<br><b>Enrollments: </b>198"
"Greensboro College" "Private" 608 494 176 7949 39 31 36.0707196 -79.8009563 "Greensboro College" "<b>Greensboro College</b><br><b>Private</b><br><b>Applications: </b>608<br><b>Applicatants accepted: </b>494<br><b>Enrollments: </b>176"
"Greenville College" "Private" 510 387 194 8222 60 46 38.8928199 -89.4087017 "Greenville College" "<b>Greenville College</b><br><b>Private</b><br><b>Applications: </b>510<br><b>Applicatants accepted: </b>387<br><b>Enrollments: </b>194"
"Grinnell College" "Private" 2039 1389 432 18979 83 91 41.7497145 -92.719516 "Grinnell College" "<b>Grinnell College</b><br><b>Private</b><br><b>Applications: </b>2039<br><b>Applicatants accepted: </b>1389<br><b>Enrollments: </b>432"
"Grove City College" "Private" 2491 1110 573 4957 100 88 41.156641 -80.0772392 "Grove City College" "<b>Grove City College</b><br><b>Private</b><br><b>Applications: </b>2491<br><b>Applicatants accepted: </b>1110<br><b>Enrollments: </b>573"
"Guilford College" "Private" 1202 1054 326 9114 65 44 36.0963643 -79.8907564 "Guilford College" "<b>Guilford College</b><br><b>Private</b><br><b>Applications: </b>1202<br><b>Applicatants accepted: </b>1054<br><b>Enrollments: </b>326"
"Gustavus Adolphus College" "Private" 1709 1385 634 9907 80 72 44.3231904 -93.978476 "Gustavus Adolphus College" "<b>Gustavus Adolphus College</b><br><b>Private</b><br><b>Applications: </b>1709<br><b>Applicatants accepted: </b>1385<br><b>Enrollments: </b>634"
"Gwynedd Mercy College" "Private" 380 237 104 7483 96 56 40.1980252 -75.2351244 "Gwynedd Mercy College" "<b>Gwynedd Mercy College</b><br><b>Private</b><br><b>Applications: </b>380<br><b>Applicatants accepted: </b>237<br><b>Enrollments: </b>104"
"Hamilton College" "Private" 3140 1783 454 17761 91 82 43.050318 -75.404903 "Hamilton College" "<b>Hamilton College</b><br><b>Private</b><br><b>Applications: </b>3140<br><b>Applicatants accepted: </b>1783<br><b>Enrollments: </b>454"
"Hamline University" "Private" 1006 825 328 10296 65 73 44.9659669 -93.16535 "Hamline University" "<b>Hamline University</b><br><b>Private</b><br><b>Applications: </b>1006<br><b>Applicatants accepted: </b>825<br><b>Enrollments: </b>328"
"Hampden - Sydney College" "Private" 817 644 307 12263 69 40 37.241039 -78.460986 "Hampden - Sydney College" "<b>Hampden - Sydney College</b><br><b>Private</b><br><b>Applications: </b>817<br><b>Applicatants accepted: </b>644<br><b>Enrollments: </b>307"
"Hampton University" "Private" 7178 3755 1433 6791 70 63 37.0217039 -76.3364923 "Hampton University" "<b>Hampton University</b><br><b>Private</b><br><b>Applications: </b>7178<br><b>Applicatants accepted: </b>3755<br><b>Enrollments: </b>1433"
"Hanover College" "Private" 1006 837 317 9248 64 65 38.72784 -85.46153 "Hanover College" "<b>Hanover College</b><br><b>Private</b><br><b>Applications: </b>1006<br><b>Applicatants accepted: </b>837<br><b>Enrollments: </b>317"
"Hardin-Simmons University" "Private" 467 424 350 7054 38 40 32.4776324 -99.7349328 "Hardin-Simmons University" "<b>Hardin-Simmons University</b><br><b>Private</b><br><b>Applications: </b>467<br><b>Applicatants accepted: </b>424<br><b>Enrollments: </b>350"
"Harding University" "Private" 1721 1068 806 6466 73 75 35.2458995 -91.7272139 "Harding University" "<b>Harding University</b><br><b>Private</b><br><b>Applications: </b>1721<br><b>Applicatants accepted: </b>1068<br><b>Enrollments: </b>806"
"Hartwick College" "Private" 2083 1725 430 11625 73 49 42.4570869 -75.0732118 "Hartwick College" "<b>Hartwick College</b><br><b>Private</b><br><b>Applications: </b>2083<br><b>Applicatants accepted: </b>1725<br><b>Enrollments: </b>430"
"Harvard University" "Private" 13865 2165 1606 37219 100 100 42.3770029 -71.1166601 "Harvard University" "<b>Harvard University</b><br><b>Private</b><br><b>Applications: </b>13865<br><b>Applicatants accepted: </b>2165<br><b>Enrollments: </b>1606"
"Harvey Mudd College" "Private" 1377 572 178 21569 100 100 34.106067 -117.7093147 "Harvey Mudd College" "<b>Harvey Mudd College</b><br><b>Private</b><br><b>Applications: </b>1377<br><b>Applicatants accepted: </b>572<br><b>Enrollments: </b>178"
"Hastings College" "Private" 817 708 262 7335 52 52 40.5906336 -98.3734674 "Hastings College" "<b>Hastings College</b><br><b>Private</b><br><b>Applications: </b>817<br><b>Applicatants accepted: </b>708<br><b>Enrollments: </b>262"
"Hendrix College" "Private" 823 721 274 8588 63 87 35.1000469 -92.4420118 "Hendrix College" "<b>Hendrix College</b><br><b>Private</b><br><b>Applications: </b>823<br><b>Applicatants accepted: </b>721<br><b>Enrollments: </b>274"
"Hillsdale College" "Private" 920 745 347 12639 79 66 41.9329457 -84.6309611 "Hillsdale College" "<b>Hillsdale College</b><br><b>Private</b><br><b>Applications: </b>920<br><b>Applicatants accepted: </b>745<br><b>Enrollments: </b>347"
"Hiram College" "Private" 922 729 244 12165 79 66 41.3106764 -81.1439907 "Hiram College" "<b>Hiram College</b><br><b>Private</b><br><b>Applications: </b>922<br><b>Applicatants accepted: </b>729<br><b>Enrollments: </b>244"
"Hobart and William Smith Colleges" "Private" 2688 2081 500 13040 79 53 42.859508 -76.985265 "Hobart and William Smith Colleges" "<b>Hobart and William Smith Colleges</b><br><b>Private</b><br><b>Applications: </b>2688<br><b>Applicatants accepted: </b>2081<br><b>Enrollments: </b>500"
"Hofstra University" "Private" 7428 5860 1349 10093 60 63 40.714111 -73.600523 "Hofstra University" "<b>Hofstra University</b><br><b>Private</b><br><b>Applications: </b>7428<br><b>Applicatants accepted: </b>5860<br><b>Enrollments: </b>1349"
"Hollins College" "Private" 602 498 215 13957 72 58 37.3547884 -79.9430537 "Hollins College" "<b>Hollins College</b><br><b>Private</b><br><b>Applications: </b>602<br><b>Applicatants accepted: </b>498<br><b>Enrollments: </b>215"
"Hood College" "Private" 699 565 176 12434 72 64 39.4213829 -77.4202024 "Hood College" "<b>Hood College</b><br><b>Private</b><br><b>Applications: </b>699<br><b>Applicatants accepted: </b>565<br><b>Enrollments: </b>176"
"Hope College" "Private" 1712 1483 624 9284 72 69 42.7871797 -86.1023574 "Hope College" "<b>Hope College</b><br><b>Private</b><br><b>Applications: </b>1712<br><b>Applicatants accepted: </b>1483<br><b>Enrollments: </b>624"
"Houghton College" "Private" 949 786 302 8187 67 70 42.4272586 -78.1556683 "Houghton College" "<b>Houghton College</b><br><b>Private</b><br><b>Applications: </b>949<br><b>Applicatants accepted: </b>786<br><b>Enrollments: </b>302"
"Huntingdon College" "Private" 608 520 127 7703 44 47 32.3504918 -86.2863163 "Huntingdon College" "<b>Huntingdon College</b><br><b>Private</b><br><b>Applications: </b>608<br><b>Applicatants accepted: </b>520<br><b>Enrollments: </b>127"
"Huntington College" "Private" 450 430 125 9466 47 46 32.3504918 -86.2863163 "Huntington College" "<b>Huntington College</b><br><b>Private</b><br><b>Applications: </b>450<br><b>Applicatants accepted: </b>430<br><b>Enrollments: </b>125"
"Huron University" "Private" 600 197 124 9249 21 9 43.0089872 -81.2777003 "Huron University" "<b>Huron University</b><br><b>Private</b><br><b>Applications: </b>600<br><b>Applicatants accepted: </b>197<br><b>Enrollments: </b>124"
"Husson College" "Private" 723 652 361 4923 84 30 44.8273127 -68.7922027 "Husson College" "<b>Husson College</b><br><b>Private</b><br><b>Applications: </b>723<br><b>Applicatants accepted: </b>652<br><b>Enrollments: </b>361"
"Illinois Benedictine College" "Private" 607 558 269 8324 75 47 41.7786157 -88.095004 "Illinois Benedictine College" "<b>Illinois Benedictine College</b><br><b>Private</b><br><b>Applications: </b>607<br><b>Applicatants accepted: </b>558<br><b>Enrollments: </b>269"
"Illinois College" "Private" 894 787 262 7348 52 63 39.730211 -90.24675 "Illinois College" "<b>Illinois College</b><br><b>Private</b><br><b>Applications: </b>894<br><b>Applicatants accepted: </b>787<br><b>Enrollments: </b>262"
"Illinois Institute of Technology" "Private" 1756 1360 478 12851 56 77 41.8348731 -87.6270059 "Illinois Institute of Technology" "<b>Illinois Institute of Technology</b><br><b>Private</b><br><b>Applications: </b>1756<br><b>Applicatants accepted: </b>1360<br><b>Enrollments: </b>478"
"Illinois State University" "Public" 8681 6695 2408 5569 54 35 40.5109769 -88.9935493 "Illinois State University" "<b>Illinois State University</b><br><b>Public</b><br><b>Applications: </b>8681<br><b>Applicatants accepted: </b>6695<br><b>Enrollments: </b>2408"
"Illinois Wesleyan University" "Private" 3050 1342 471 9605 83 86 40.4909408 -88.9902736 "Illinois Wesleyan University" "<b>Illinois Wesleyan University</b><br><b>Private</b><br><b>Applications: </b>3050<br><b>Applicatants accepted: </b>1342<br><b>Enrollments: </b>471"
"Immaculata College" "Private" 268 253 103 7305 69 44 40.0294054 -75.5689967 "Immaculata College" "<b>Immaculata College</b><br><b>Private</b><br><b>Applications: </b>268<br><b>Applicatants accepted: </b>253<br><b>Enrollments: </b>103"
"Incarnate Word College" "Private" 1163 927 386 6095 95 49 29.4669843 -98.4658294 "Incarnate Word College" "<b>Incarnate Word College</b><br><b>Private</b><br><b>Applications: </b>1163<br><b>Applicatants accepted: </b>927<br><b>Enrollments: </b>386"
"Indiana State University" "Public" 5659 4761 3147 6996 40 31 39.4712412 -87.4080662 "Indiana State University" "<b>Indiana State University</b><br><b>Public</b><br><b>Applications: </b>5659<br><b>Applicatants accepted: </b>4761<br><b>Enrollments: </b>3147"
"Indiana University at Bloomington" "Public" 16587 13243 5873 8686 68 72 39.1701821 -86.5147805 "Indiana University at Bloomington" "<b>Indiana University at Bloomington</b><br><b>Public</b><br><b>Applications: </b>16587<br><b>Applicatants accepted: </b>13243<br><b>Enrollments: </b>5873"
"Indiana Wesleyan University" "Private" 735 423 366 6562 34 48 40.5193861 -85.6646919 "Indiana Wesleyan University" "<b>Indiana Wesleyan University</b><br><b>Private</b><br><b>Applications: </b>735<br><b>Applicatants accepted: </b>423<br><b>Enrollments: </b>366"
"Iona College" "Private" 4892 3530 913 8107 66 33 40.923618 -73.789506 "Iona College" "<b>Iona College</b><br><b>Private</b><br><b>Applications: </b>4892<br><b>Applicatants accepted: </b>3530<br><b>Enrollments: </b>913"
"Iowa State University" "Public" 8427 7424 3441 8420 65 59 42.0266187 -93.6464654 "Iowa State University" "<b>Iowa State University</b><br><b>Public</b><br><b>Applications: </b>8427<br><b>Applicatants accepted: </b>7424<br><b>Enrollments: </b>3441"
"Ithaca College" "Private" 7259 5526 1368 9812 75 52 42.4221462 -76.4950805 "Ithaca College" "<b>Ithaca College</b><br><b>Private</b><br><b>Applications: </b>7259<br><b>Applicatants accepted: </b>5526<br><b>Enrollments: </b>1368"
"James Madison University" "Public" 11223 5285 2082 5212 98 72 38.435092 -78.8697548 "James Madison University" "<b>James Madison University</b><br><b>Public</b><br><b>Applications: </b>11223<br><b>Applicatants accepted: </b>5285<br><b>Enrollments: </b>2082"
"Jamestown College" "Private" 472 410 262 3186 54 41 46.9142579 -98.697826 "Jamestown College" "<b>Jamestown College</b><br><b>Private</b><br><b>Applications: </b>472<br><b>Applicatants accepted: </b>410<br><b>Enrollments: </b>262"
"Jersey City State College" "Public" 2957 1423 691 8367 26 30 40.7107005 -74.0878351 "Jersey City State College" "<b>Jersey City State College</b><br><b>Public</b><br><b>Applications: </b>2957<br><b>Applicatants accepted: </b>1423<br><b>Enrollments: </b>691"
"John Brown University" "Private" 605 405 284 8118 75 53 36.1915661 -94.5585948 "John Brown University" "<b>John Brown University</b><br><b>Private</b><br><b>Applications: </b>605<br><b>Applicatants accepted: </b>405<br><b>Enrollments: </b>284"
"John Carroll University" "Private" 2421 2109 820 7738 89 57 41.4901948 -81.5314425 "John Carroll University" "<b>John Carroll University</b><br><b>Private</b><br><b>Applications: </b>2421<br><b>Applicatants accepted: </b>2109<br><b>Enrollments: </b>820"
"Johns Hopkins University" "Private" 8474 3446 911 56233 90 94 39.3299013 -76.6205177 "Johns Hopkins University" "<b>Johns Hopkins University</b><br><b>Private</b><br><b>Applications: </b>8474<br><b>Applicatants accepted: </b>3446<br><b>Enrollments: </b>911"
"Johnson State College" "Public" 833 669 279 6564 36 13 44.6463437 -72.6742736 "Johnson State College" "<b>Johnson State College</b><br><b>Public</b><br><b>Applications: </b>833<br><b>Applicatants accepted: </b>669<br><b>Enrollments: </b>279"
"Judson College" "Private" 313 228 137 7840 56 30 32.6298869 -87.3149694 "Judson College" "<b>Judson College</b><br><b>Private</b><br><b>Applications: </b>313<br><b>Applicatants accepted: </b>228<br><b>Enrollments: </b>137"
"Juniata College" "Private" 1005 859 298 12067 80 55 40.4994634 -78.0166127 "Juniata College" "<b>Juniata College</b><br><b>Private</b><br><b>Applications: </b>1005<br><b>Applicatants accepted: </b>859<br><b>Enrollments: </b>298"
"Kansas State University" "Public" 5880 4075 2833 6122 54 55 39.1974437 -96.5847249 "Kansas State University" "<b>Kansas State University</b><br><b>Public</b><br><b>Applications: </b>5880<br><b>Applicatants accepted: </b>4075<br><b>Enrollments: </b>2833"
"Kansas Wesleyan University" "Private" 589 575 148 6535 68 40 38.8137889 -97.6094191 "Kansas Wesleyan University" "<b>Kansas Wesleyan University</b><br><b>Private</b><br><b>Applications: </b>589<br><b>Applicatants accepted: </b>575<br><b>Enrollments: </b>148"
"Keene State College" "Public" 3121 2446 822 6195 61 19 42.9249987 -72.2822698 "Keene State College" "<b>Keene State College</b><br><b>Public</b><br><b>Applications: </b>3121<br><b>Applicatants accepted: </b>2446<br><b>Enrollments: </b>822"
"Kentucky Wesleyan College" "Private" 584 497 175 7058 62 49 37.7437003 -87.1206864 "Kentucky Wesleyan College" "<b>Kentucky Wesleyan College</b><br><b>Private</b><br><b>Applications: </b>584<br><b>Applicatants accepted: </b>497<br><b>Enrollments: </b>175"
"Kenyon College" "Private" 2212 1538 408 14067 88 75 40.3768328 -82.3965928 "Kenyon College" "<b>Kenyon College</b><br><b>Private</b><br><b>Applications: </b>2212<br><b>Applicatants accepted: </b>1538<br><b>Enrollments: </b>408"
"Keuka College" "Private" 461 381 174 7863 51 43 42.6152852 -77.0905836 "Keuka College" "<b>Keuka College</b><br><b>Private</b><br><b>Applications: </b>461<br><b>Applicatants accepted: </b>381<br><b>Enrollments: </b>174"
"King's College" "Private" 1456 1053 381 7649 87 45 41.2497878 -75.8796072 "King's College" "<b>King's College</b><br><b>Private</b><br><b>Applications: </b>1456<br><b>Applicatants accepted: </b>1053<br><b>Enrollments: </b>381"
"King College" "Private" 355 300 142 8954 65 65 36.586662 -82.159805 "King College" "<b>King College</b><br><b>Private</b><br><b>Applications: </b>355<br><b>Applicatants accepted: </b>300<br><b>Enrollments: </b>142"
"Knox College" "Private" 1040 845 286 13224 79 77 40.9416833 -90.3713045 "Knox College" "<b>Knox College</b><br><b>Private</b><br><b>Applications: </b>1040<br><b>Applicatants accepted: </b>845<br><b>Enrollments: </b>286"
"La Roche College" "Private" 361 321 185 7022 52 41 40.5683018 -80.0140875 "La Roche College" "<b>La Roche College</b><br><b>Private</b><br><b>Applications: </b>361<br><b>Applicatants accepted: </b>321<br><b>Enrollments: </b>185"
"La Salle University" "Private" 2929 1834 622 9084 84 56 40.0391916 -75.1551765 "La Salle University" "<b>La Salle University</b><br><b>Private</b><br><b>Applications: </b>2929<br><b>Applicatants accepted: </b>1834<br><b>Enrollments: </b>622"
"Lafayette College" "Private" 4010 2402 572 15365 92 59 40.6986202 -75.2087298 "Lafayette College" "<b>Lafayette College</b><br><b>Private</b><br><b>Applications: </b>4010<br><b>Applicatants accepted: </b>2402<br><b>Enrollments: </b>572"
"LaGrange College" "Private" 544 399 177 9067 75 35 33.0384447 -85.0433441 "LaGrange College" "<b>LaGrange College</b><br><b>Private</b><br><b>Applications: </b>544<br><b>Applicatants accepted: </b>399<br><b>Enrollments: </b>177"
"Lake Forest College" "Private" 979 638 271 15687 77 70 42.249058 -87.828913 "Lake Forest College" "<b>Lake Forest College</b><br><b>Private</b><br><b>Applications: </b>979<br><b>Applicatants accepted: </b>638<br><b>Enrollments: </b>271"
